Date,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
2020-11-01,97,9,2,2,2,2,2,2,2
2020-11-02,75,8,3,3,3,3,3,3,3
2020-11-03,118,9,4,4,4,4,4,4,4
2020-11-04,125,11,5,5,5,5,5,5,5
2020-11-05,145,13,6,6,6,6,6,6,6
2020-11-06,89,16,8,8,8,8,8,8,8
2020-11-07,143,20,11,11,11,11,11,11,11
2020-11-08,126,24,14,14,14,14,14,14,14
2020-11-09,100,30,17,17,17,17,17,17,17
2020-11-10,146,37,22,22,22,22,22,22,22
2020-11-11,143,45,29,29,29,29,29,29,29
2020-11-12,191,56,37,37,37,37,37,37,37
2020-11-13,205,69,47,47,47,47,47,47,47
2020-11-14,208,85,61,61,61,61,61,61,61
2020-11-15,223,105,78,78,78,78,78,78,78
2020-11-16,229,129,100,100,100,100,100,100,100
2020-11-17,313,159,129,129,129,129,129,129,129
2020-11-18,343,196,165,165,165,165,165,165,165
2020-11-19,363,242,212,212,212,212,212,212,212
2020-11-20,386,298,272,272,272,272,272,272,272
2020-11-21,330,368,349,349,349,349,349,349,349
2020-11-22,271,453,448,448,448,448,448,448,448
2020-11-23,349,556,575,575,575,575,575,575,575
2020-11-24,382,485,681,681,681,681,681,681,681
2020-11-25,583,456,739,739,739,739,739,739,739
2020-11-26,569,450,771,771,771,771,771,771,771
2020-11-27,488,456,790,790,790,790,790,790,790
2020-11-28,449,468,801,801,801,801,801,801,801
2020-11-29,377,483,809,809,809,809,809,809,809
2020-11-30,451,501,815,815,815,815,815,815,815
2020-12-01,511,521,820,820,820,820,820,820,820
2020-12-02,540,542,825,825,825,825,825,825,825
2020-12-03,629,563,829,829,829,829,829,829,829
2020-12-04,583,586,834,834,834,834,834,834,834
2020-12-05,631,610,838,838,838,838,838,838,838
2020-12-06,615,634,842,842,842,842,842,842,842
2020-12-07,594,660,846,846,846,846,846,846,846
2020-12-08,677,686,850,850,850,850,850,850,850
2020-12-09,666,714,855,855,855,855,855,855,855
2020-12-10,688,743,859,859,859,859,859,859,859
2020-12-11,950,773,863,863,863,863,863,863,863
2020-12-12,1030,804,867,867,867,867,867,867,867
2020-12-13,718,837,872,872,872,872,872,872,872
2020-12-14,880,871,876,876,876,876,876,876,876
2020-12-15,1078,906,880,880,880,880,880,880,880
2020-12-16,1011,942,884,884,884,884,884,884,884
2020-12-17,1062,980,889,889,889,889,889,889,889
2020-12-18,1055,1020,893,893,893,893,893,893,893
2020-12-19,1095,1061,897,897,897,897,897,897,897
2020-12-20,926,1104,902,902,902,902,902,902,902
2020-12-21,869,1149,906,906,906,906,906,906,906
2020-12-22,1090,1193,911,911,911,911,911,911,911
2020-12-23,983,1086,913,913,913,913,913,913,913
2020-12-24,1237,1024,914,914,914,914,914,914,914
2020-12-25,1132,987,913,913,913,913,913,913,913
2020-12-26,970,963,911,911,911,911,911,911,911
2020-12-27,808,947,909,909,909,909,909,909,909
2020-12-28,1045,934,907,907,907,907,907,907,907
2020-12-29,1048,923,905,905,905,905,905,905,905
2020-12-30,967,913,903,903,903,903,903,903,903
2020-12-31,1029,904,901,901,901,901,901,901,901
2021-01-01,824,895,898,898,898,898,898,898,898
2021-01-02,651,886,896,896,896,896,896,896,896
2021-01-03,1020,845,889,889,889,889,889,889,889
2021-01-04,715,815,875,875,875,875,875,875,875
